job,company,location,salary
Data Scientist,Public Health England,London,42567.0
Graduate Data Scientist,UK Government - Office for National Statistics,London,29540.0
Data Scientist – Team Lead,SoulTek,London,85000.0
919-SA-33705099-EXT Data Scientist,Public Health England,London,42567.0
Technical Analyst / Data Scientist,Policy in Practice,London,37500.0
Data Scientist,Bank of England,London,47950.0
Data Scientist,MBN Solutions,London,60000.0
Data Scientist,Ampersand Consulting,London,65000.0
Data Scientist - Head of Business Intelligence,UK Government - Marine Management Organisation,London,55029.0
Insights Data Scientist,SoulTek,London,52500.0
Data Scientist - PRA Data Innovation,Bank of England,London,46950.0
Chief Data Scientist,Ampersand Consulting,London,175000.0
Data Scientist - leading tech innovator,Bettor Believe,London,45000.0
Data Scientist,Blue Pelican,London,50000.0
Data Scientist - Machine Learning (Python/SQL),Linux Recruit,London,85000.0
"Senior Data Scientist, Operations",Monzo,London,64500.0
Data Scientist,Dome Recruitment Ltd,London,35000.0
HEAD OF DATA – DATA SCIENCE / BI,Intec Select,London,110000.0
G4 Lead Data Scientist – Multiple Locations*,Allen Lane,London,35846.0
Quant Researcher/Data Scientist,Oho Group,London,112500.0
Junior Python Data Engineer/Scientist,Inspiring Interns,London,35000.0
Biostatistician / Data Scientist - Innovative Biopharma - Lo...,Warman O'Brien,London,52500.0
Lead Data Scientist,Harnham,London,95000.0
Senior Data Scientist,Marshall Wolfe,London,77500.0
Research Fellow (Data Scientist),University of Westminster,London,44021.0
Product Data Scientist,Harnham,London,55000.0
NLP Data Scientist,Pulse IT Recruitment Ltd,London,44000.0
Data Scientist - Energy Trading,Harnham,London,92500.0
Fraud Data Scientist,Harnham,London,60000.0
Data Scientist,Venturi,London,90000.0
Big Data Engineer,AXA UK,London,25500.0
Senior Data Scientist,Harnham,London,72500.0
Senior Data Scientist,Consortia,London,85000.0
Data Scientist,Consortia,London,80000.0
Data Scientist (Remote),Harnham,London,40000.0
Biostatistician / Data Scientist,Warman O'Brien,London,55000.0
Senior Data Scientist,Oscar Technology,London,65000.0
Data Scientist - Machine Learning,Metrica Recruitment,London,52500.0
Remote or Cambridge Based Role - Data Scientist / Machine Le...,GCS Recruitment Specialists Ltd,London,52500.0
Forecasting Data Scientist,Michael Page UK,London,70000.0
Data Scientist at AI Machine-Learning Technology Platform,Grey Matter Recruitment,London,90000.0
Data Science Manager,Harnham,London,87500.0
"Chief Data Scientist (AI, Data Science)",Ampersand Consulting,London,115000.0
Customer Data Scientist,Metrica Recruitment,London,47500.0
Technical co-founder / Machine Learning Engineer,Alimar Consulting,London,65000.0
Data Scientist - Menu Tribe,Gousto,London,65000.0
"Principal NLP Engineer (NLP, Python, Linguistics)",Ampersand Consulting,London,90000.0
Computer Vision Research Scientist,ADLIB,London,67500.0
Quantitative Data Scientist / Analyst - Ads engineering,Aquent,London,84000.0
Machine Learning Researcher - NLP,Oho Group,London,75000.0
Deep Learning Engineer,Harnham,London,82500.0
Lead Data Scientist,Consortia,London,75000.0
Data Scientist,Streetbees,London,60000.0
Data Scientist,Taylor James Resourcing,London,72500.0
Python Engineer - Machine Learning,Oho Group,London,75000.0
Senior Data Scientist,Metrica Recruitment,London,75000.0
FinTech Lead Data Scientist,Metrica Recruitment,London,70000.0
Data Scientist,FACEIT,London,47500.0
Lead Data Scientist - London,Michael Page UK,London,100000.0
Analytics Consultant (Client Side),MBN Recruitment Solutions,London,60000.0
Data Science Senior Manager,Harnham,London,105000.0
Machine Learning Engineer - Causality,Oho Group,London,100000.0
Machine Learning Engineer,Cyberlens Ltd.,London,49000.0
Platform Engineer (Cloud Data Science),Understanding Recruitment,London,130000.0
Senior Manager - Data Scientist,Evolution Recruitment Solutions,London,100000.0
Data Science Lead,Harnham,London,90000.0
Data Science & Engineering Manager,Consortia,London,110000.0
Machine Learning Engineer,GCS Recruitment Specialists Ltd,London,55000.0
Machine Learning Researcher,SoCode,London,90000.0
Data Science Software Engineer (AI Start-Up) - Python,GCS Recruitment Specialists Ltd,London,65500.0
Financial Markets Data Scientist,Taylor James Resourcing,London,72500.0
"DevOps Engineer (AI, Deep Learning)",Auxillium,London,75000.0
French Speaking Data Scientist - London - £110k + Benefits!,Lawrence Harvey,London,105000.0
Forensic Data Analytics Manager,Harnham,London,65000.0
Data Science Manager,Datatech Analytics,London,30000.0
ML Engineer / Data Scientist,Venturi,London,60000.0
Data Scientist (Investment Background),Taylor James Resourcing,London,72500.0
Remote or Cambridge Based - Data Scientist / Machine Learnin...,GCS Recruitment Specialists Ltd,London,45000.0
Lead R Developer - Data Visualisation / Data Science,Harnham,London,82500.0
Head of Data Science - London - Creative,GCS Recruitment Specialists Ltd,London,120000.0
Data Science Consultant,Metrica Recruitment,London,50000.0
Senior Analytics Manager (Supply Chain),Harnham,London,80000.0
Head of Data Science - London - (Cutting Edge NLP!!),Lawrence Harvey,London,125000.0
Research Scientist - Deep Learning,Yoti,London,65000.0
Lead Machine Learning Engineer,Client Server,London,120000.0
"Data Scientists (1x Mid, 1x Snr) - Python",GCS Recruitment Specialists Ltd,London,60000.0
"Principle Data Scientist - London - £110,000 + Benefits + Bo...",Lawrence Harvey,London,100000.0
Head of AI Engineering - Deep Learning,CV Screen,London,110000.0
Senior Analyst - Strategy & Analytics,QuantSpark,London,50000.0
"Head of Engineering (DevOps, Cloud, Data Analytics, Machine...",Linux Recruit,London,110000.0
Principal Consultant - Fraud Analytics,Harnham,London,65000.0
Senior Manager - Optimisation - Analytics,Datatech Analytics,London,85000.0
AI Software Engineer,GCS Recruitment Specialists Ltd,London,67500.0
Lead Engineer - Python - Machine Learning,Linux Recruit,London,85000.0
ML Engineer,Callsign,London,60000.0
Health Data Analyst,Chelsea and Westminster Hospital NHS Foundation Tr...,London,33313.0
"Junior Data Analyst (Excel, Distribution, Policy)",Ampersand Consulting,London,23500.0
Data Analyst,Orbus Software,London,40000.0
Analyst – Data & Analytics Platform Strategy & Implementatio...,Bank of England,London,35700.0
Data Analyst,TalentPool,London,45000.0
Data Analyst,House of Commons,London,30985.0
Senior Improvement Analyst – Making Data Count,NHS England and NHS Improvement,London,57584.5
"Data Analyst (Excel, SQL, Data)",Ampersand Consulting,London,25500.0
Data Analyst,UK Government - House of Commons,London,30985.0
Data Analyst,Fable Data Limited,London,55000.0
